Unnamed: 1,station_id,bikes
07:30:00,东门,
08:50:00,东门,68.0
11:10:00,东门,
12:20:00,东门,
13:50:00,东门,43.0
18:00:00,东门,36.0
21:20:00,东门,103.0
23:00:00,东门,
07:30:00,东门,31.0
08:50:00,东门,
11:10:00,东门,47.0
12:20:00,东门,28.0
13:50:00,东门,
18:00:00,东门,
21:20:00,东门,93.0
23:00:00,东门,19.0
07:30:00,东门,
08:50:00,东门,
11:10:00,东门,62.0
12:20:00,东门,
13:50:00,东门,64.0
18:00:00,东门,
21:20:00,东门,
23:00:00,东门,9.0
09:00:00,东门,
12:00:00,东门,86.0
15:00:00,东门,146.0
18:00:00,东门,
21:00:00,东门,85.0
09:00:00,东门,78.0
12:00:00,东门,
15:00:00,东门,
18:00:00,东门,
21:00:00,东门,94.0
07:30:00,南门,
08:50:00,南门,
11:10:00,南门,
12:20:00,南门,66.0
13:50:00,南门,
18:00:00,南门,99.0
21:20:00,南门,
23:00:00,南门,41.0
07:30:00,南门,47.0
08:50:00,南门,
11:10:00,南门,38.0
12:20:00,南门,
13:50:00,南门,29.0
18:00:00,南门,125.0
21:20:00,南门,
23:00:00,南门,52.0
07:30:00,南门,44.0
08:50:00,南门,
11:10:00,南门,23.0
12:20:00,南门,
13:50:00,南门,
18:00:00,南门,105.0
21:20:00,南门,
23:00:00,南门,
09:00:00,南门,
12:00:00,南门,52.0
15:00:00,南门,
18:00:00,南门,
21:00:00,南门,
09:00:00,南门,72.0
12:00:00,南门,
15:00:00,南门,
18:00:00,南门,103.0
21:00:00,南门,
07:30:00,北门,24.0
08:50:00,北门,66.0
11:10:00,北门,
12:20:00,北门,77.0
13:50:00,北门,66.0
18:00:00,北门,
21:20:00,北门,29.0
23:00:00,北门,
07:30:00,北门,15.0
08:50:00,北门,57.0
11:10:00,北门,68.0
12:20:00,北门,
13:50:00,北门,
18:00:00,北门,72.0
21:20:00,北门,19.0
23:00:00,北门,
07:30:00,北门,16.0
08:50:00,北门,65.0
11:10:00,北门,
12:20:00,北门,63.0
13:50:00,北门,
18:00:00,北门,72.0
21:20:00,北门,
23:00:00,北门,
09:00:00,北门,31.0
12:00:00,北门,
15:00:00,北门,60.0
18:00:00,北门,125.0
21:00:00,北门,46.0
09:00:00,北门,
12:00:00,北门,102.0
15:00:00,北门,
18:00:00,北门,
21:00:00,北门,38.0
07:30:00,一食堂,
08:50:00,一食堂,3.0
11:10:00,一食堂,5.0
12:20:00,一食堂,
13:50:00,一食堂,10.0
18:00:00,一食堂,
21:20:00,一食堂,27.0
23:00:00,一食堂,85.0
07:30:00,一食堂,
08:50:00,一食堂,7.0
11:10:00,一食堂,
12:20:00,一食堂,110.0
13:50:00,一食堂,5.0
18:00:00,一食堂,
21:20:00,一食堂,
23:00:00,一食堂,80.0
07:30:00,一食堂,
08:50:00,一食堂,
11:10:00,一食堂,7.0
12:20:00,一食堂,
13:50:00,一食堂,4.0
18:00:00,一食堂,
21:20:00,一食堂,25.0
23:00:00,一食堂,
09:00:00,一食堂,54.0
12:00:00,一食堂,
15:00:00,一食堂,14.0
18:00:00,一食堂,
21:00:00,一食堂,55.0
09:00:00,一食堂,
12:00:00,一食堂,57.0
15:00:00,一食堂,
18:00:00,一食堂,
21:00:00,一食堂,
07:30:00,二食堂,127
08:50:00,二食堂,8
11:10:00,二食堂,19
12:20:00,二食堂,122
13:50:00,二食堂,
18:00:00,二食堂,80
21:20:00,二食堂,
23:00:00,二食堂,122
07:30:00,二食堂,91
08:50:00,二食堂,
11:10:00,二食堂,19
12:20:00,二食堂,200+
13:50:00,二食堂,
18:00:00,二食堂,
21:20:00,二食堂,72
23:00:00,二食堂,96
07:30:00,二食堂,97
